,2019_tract,2020_tract
265,48453001835,48453043700
266,48453001835,48453043800
267,48453001839,48453043900
268,48453001839,48453044000
269,48453001840,48453044100
270,48453001841,48453044400
271,48453001804,48453040000
272,48453001774,48453037100
273,48453001770,48453036800
274,48453001770,48453036700
275,48453001729,48453031000
276,48453001738,48453031200
277,48453001740,48453031300
278,48453001741,48453031400
279,48453001746,48453031700
280,48453001748,48453031900
281,48453001750,48453032100
282,48453001751,48453032200
283,48453001752,48453032300
284,48453001753,48453032400
285,48453001754,48453032500
286,48453001755,48453032600
287,48453001757,48453032800
288,48453001769,48453033000
289,48453001771,48453033100
290,48453001777,48453033500
291,48453001778,48453033600
292,48453001714,48453034400
293,48453001714,48453034500
294,48453001714,48453034600
295,48453001737,48453034700
296,48453001737,48453034800
297,48453001760,48453034900
298,48453001760,48453035000
299,48453001760,48453035100
300,48453001764,48453035300
301,48453001766,48453036000
302,48453001766,48453036300
303,48453001766,48453036400
304,48453001841,48453044500
305,48453001841,48453044600
306,48453001841,48453044700
307,48491020316,48491020355
308,48491020403,48491020403
309,48491020406,48491020406
310,48491020409,48491020409
311,48491020503,48491020503
312,48491020505,48491020505
313,48491020507,48491020507
314,48491020508,48491020508
315,48491020504,48491020511
316,48491020603,48491020606
317,48491020603,48491020607
318,48491020605,48491020608
319,48491020605,48491020609
320,48491020708,48491020711
321,48491020804,48491020815
322,48491020806,48491020818
323,48491020809,48491020820
324,48491021100,48491021100
325,48491021202,48491021202
326,48491021300,48491021300
327,48491021401,48491021404
328,48491021403,48491021406
329,48491021503,48491021503
330,48491021504,48491021509
331,48491021504,48491021510
332,48491021508,48491021511
333,48491021508,48491021512
334,48491021507,48491021513
335,48491021507,48491021515
336,48491021505,48491021518
337,48491020316,48491020356
338,48491020328,48491020353
339,48453001842,48453044800
340,48491020320,48491020352
341,48453001842,48453045000
342,48453001849,48453045300
343,48453001851,48453045500
344,48453001851,48453045600
345,48453001851,48453045700
346,48453001855,48453046300
347,48453001857,48453046400
348,48453001857,48453046500
349,48453001858,48453046700
350,48453001858,48453046900
351,48491020111,48491020111
352,48491020114,48491020114
353,48491020107,48491020117
354,48491020105,48491020118
355,48491020105,48491020119
356,48491020112,48491020121
357,48491020202,48491020207
358,48491020202,48491020208
359,48491020311,48491020311
360,48491020323,48491020323
361,48491020325,48491020325
362,48491020327,48491020327
363,48491020312,48491020332
364,48491020318,48491020334
365,48491020322,48491020335
366,48491020322,48491020336
367,48491020324,48491020337
368,48491020302,48491020341
369,48491020314,48491020344
370,48453001728,48453030900
371,48453001718,48453030600
372,48453001713,48453030400
373,48453000101,48453000101
374,48453000204,48453000204
375,48453000205,48453000205
376,48453000206,48453000206
377,48453000304,48453000304
378,48453000305,48453000305
379,48453000307,48453000307
380,48453000306,48453000308
381,48453000306,48453000309
382,48453000401,48453000401
383,48453000402,48453000402
384,48453000601,48453000601
385,48453000603,48453000605
386,48453000603,48453000606
387,48453000604,48453000607
388,48453000604,48453000608
389,48453000700,48453000700
390,48453000802,48453000802
391,48453000803,48453000803
392,48453000804,48453000804
393,48453000901,48453000901
394,48453000902,48453000902
395,48453001000,48453001000
396,48453001100,48453001101
397,48453001100,48453001102
398,48453001100,48453001103
399,48453001200,48453001200
400,48453001304,48453001304
401,48453001307,48453001307
402,48453001308,48453001308
403,48453000203,48453000203
404,48209010907,48209010920
405,48453001303,48453001310
406,48209010906,48209010918
407,48021950300,48021950302
408,48021950400,48021950402
409,48021950502,48021950503
410,48021950501,48021950506
411,48021950801,48021950803
412,48055960101,48055960104
413,48055960200,48055960200
414,48055960300,48055960300
415,48055960400,48055960400
416,48055960500,48055960501
417,48055960500,48055960502
418,48055960600,48055960600
419,48055960700,48055960701
420,48055960700,48055960702
421,48209010200,48209010200
422,48209010302,48209010302
423,48209010304,48209010307
424,48209010304,48209010308
425,48209010304,48209010309
426,48209010400,48209010401
427,48209010400,48209010402
428,48209010600,48209010601
429,48209010600,48209010602
430,48209010702,48209010702
431,48209010803,48209010810
432,48209010804,48209010813
433,48209010804,48209010814
434,48209010905,48209010905
435,48209010906,48209010917
436,48453001303,48453001309
437,48453001305,48453001311
438,48453001712,48453030300
439,48453002209,48453002218
440,48453002202,48453002222
441,48453002307,48453002307
442,48453002313,48453002313
443,48453002314,48453002314
444,48453002315,48453002315
445,48453002312,48453002321
446,48453002308,48453002323
447,48453002318,48453002324
448,48453002318,48453002325
449,48453002317,48453002326
450,48453002403,48453002403
451,48453002409,48453002409
452,48453002410,48453002410
453,48453002413,48453002413
454,48453002422,48453002422
455,48453002423,48453002423
456,48453002424,48453002424
457,48453002421,48453002437
458,48453002421,48453002438
459,48453002426,48453002439
460,48453002427,48453002441
461,48453002402,48453002443
462,48453002402,48453002444
463,48453002428,48453002446
464,48453002435,48453002450
465,48453002433,48453002452
466,48453002433,48453002453
467,48453001706,48453030100
468,48453001707,48453030200
469,48453002202,48453002220
470,48453002209,48453002217
471,48453001305,48453001312
472,48453002207,48453002216
473,48453001402,48453001402
