GEOID,2019_tract,NAME,indexed_vulnerability,eaz_type,pct_poc,pct_underserved_poc,median_hh_inc,pct_food_stamps,pct_rent_over35,pct_wo_broadband,pct_less_vehicles,pct_with_disability,pct_over_70,acs_year,difference_since_2019
48453002419,48453002419,"Census Tract 24.19, Travis County, Texas",86.578546009151,Most Vulnerable,0.876036400404449,0.824469160768453,-40318.0,0.13246628131021196,0.39069316529326226,0.18834296724470134,0.26903023983315955,1.0,0.007280080889787664,2019,
48453002422,48453002422,"Census Tract 24.22, Travis County, Texas",58.210472801220135,Medium Vulnerable,0.5507413509060956,0.4868204283360791,-60728.0,0.02654867256637168,0.336053412462908,0.07448377581120944,0.10359408033826638,1.0,0.053377265238879736,2019,
48453002423,48453002423,"Census Tract 24.23, Travis County, Texas",54.75343162175902,Medium Vulnerable,0.4727817546196105,0.43166305976360914,-69654.0,0.0387121502491376,0.5124056094929881,0.051360674587964734,0.13022437307523096,1.0,0.04178458465124022,2019,
48453002424,48453002424,"Census Tract 24.24, Travis County, Texas",56.22775800711744,Medium Vulnerable,0.5243714725500257,0.5153925089789636,-56667.0,0.09286675639300135,0.37889039242219213,0.08882907133243607,0.1035923141186299,0.9892252437147255,0.0728578758337609,2019,
48453002430,48453002430,"Census Tract 24.30, Travis County, Texas",88.10371123538383,Most Vulnerable,0.798688777477825,0.7790204396451986,-53882.0,0.24199743918053776,0.23904382470119523,0.22407170294494239,0.26323529411764707,1.0,0.017354415734670267,2019,
48453002432,48453002432,"Census Tract 24.32, Travis County, Texas",67.86985256736146,Medium-High Vulnerable,0.7146210596914823,0.6592890677397719,-78000.0,0.07995495495495496,0.5819672131147541,0.2511261261261261,0.11786600496277916,0.9919517102615694,0.04929577464788732,2019,
48453002434,48453002434,"Census Tract 24.34, Travis County, Texas",66.8530757498729,Medium-High Vulnerable,0.6887417218543046,0.6664659843467791,-57963.0,0.08333333333333333,0.18867924528301888,0.3076923076923077,0.13076923076923078,0.9933774834437086,0.060204695966285374,2019,
48453002436,48453002436,"Census Tract 24.36, Travis County, Texas",84.90086426029487,Most Vulnerable,0.8789739884393064,0.8634393063583815,-63125.0,0.12566844919786097,0.41721854304635764,0.23663101604278075,0.0963302752293578,1.0,0.0906791907514451,2019,
48453002437,48453002421,"Census Tract 24.37, Travis County, Texas",52.87239450940518,Medium Vulnerable,0.5839708561020036,0.498816029143898,-62452.0,0.03800125971026664,0.3312334217506631,0.04031072853243754,0.13469196533145936,1.0,0.029963570127504554,2019,
48453002438,48453002421,"Census Tract 24.38, Travis County, Texas",52.87239450940518,Medium Vulnerable,0.5839708561020036,0.498816029143898,-62452.0,0.03800125971026664,0.3312334217506631,0.04031072853243754,0.13469196533145936,1.0,0.029963570127504554,2019,
48453002439,48453002426,"Census Tract 24.39, Travis County, Texas",72.75038129130655,Medium-High Vulnerable,0.7682200780127284,0.7182303428454117,-80590.0,0.09699542782495102,0.44846796657381616,0.03167864141084259,0.10431256911168449,1.0,0.024019708478751796,2019,
48453002440,48453002426,"Census Tract 24.40, Travis County, Texas",72.75038129130655,Medium-High Vulnerable,0.7682200780127284,0.7182303428454117,-80590.0,0.09699542782495102,0.44846796657381616,0.03167864141084259,0.10431256911168449,1.0,0.024019708478751796,2019,
48453002441,48453002427,"Census Tract 24.41, Travis County, Texas",97.25470259278089,Most Vulnerable,0.8825503355704698,0.8707432264479245,-45818.0,0.13652140377940608,0.47705696202531644,0.23524874662553028,0.1316628701594533,1.0,0.037907034551329856,2019,
48453002442,48453002427,"Census Tract 24.42, Travis County, Texas",97.25470259278089,Most Vulnerable,0.8825503355704698,0.8707432264479245,-45818.0,0.13652140377940608,0.47705696202531644,0.23524874662553028,0.1316628701594533,1.0,0.037907034551329856,2019,
48453002443,48453002402,"Census Tract 24.43, Travis County, Texas",54.49923741738688,Medium Vulnerable,0.5313601127554616,0.49541930937279777,-63495.0,0.04490322580645161,0.33418647166361976,0.09316129032258065,0.13885578069129917,0.9994127319708715,0.06871035940803383,2019,
48453002444,48453002402,"Census Tract 24.44, Travis County, Texas",54.49923741738688,Medium Vulnerable,0.5313601127554616,0.49541930937279777,-63495.0,0.04490322580645161,0.33418647166361976,0.09316129032258065,0.13885578069129917,0.9994127319708715,0.06871035940803383,2019,
48453002445,48453002428,"Census Tract 24.45, Travis County, Texas",42.958820538891715,Medium Vulnerable,0.5575925702569051,0.5316608370522253,-85329.0,0.059631595379331874,0.22807017543859648,0.06025600999063378,0.07962046204620463,0.9931250753829454,0.1017971294174406,2019,
48453002446,48453002428,"Census Tract 24.46, Travis County, Texas",42.958820538891715,Medium Vulnerable,0.5575925702569051,0.5316608370522253,-85329.0,0.059631595379331874,0.22807017543859648,0.06025600999063378,0.07962046204620463,0.9931250753829454,0.1017971294174406,2019,
48453002447,48453002431,"Census Tract 24.47, Travis County, Texas",70.56431113370614,Medium-High Vulnerable,0.8220022224467118,0.7987675522780079,-64672.0,0.1417854463615904,0.2857142857142857,0.04913728432108027,0.19396939693969398,1.0,0.010809172643701384,2019,
48453002448,48453002431,"Census Tract 24.48, Travis County, Texas",70.56431113370614,Medium-High Vulnerable,0.8220022224467118,0.7987675522780079,-64672.0,0.1417854463615904,0.2857142857142857,0.04913728432108027,0.19396939693969398,1.0,0.010809172643701384,2019,
48453002449,48453002435,"Census Tract 24.49, Travis County, Texas",68.98830706659889,Medium-High Vulnerable,0.8758114931473912,0.8369800432796345,-62418.0,0.16500904159132007,0.29844961240310075,0.042495479204339964,0.10506024096385543,0.9951911517191633,0.03979321952392402,2019,
